ell,keygen,auth,dele,enc,trapdoor,test
1,0.050872731,0.02301414,0.013001132,0.018448138,0.000236464,0.00132346
2,0.115706372,0.086717653,0.059465432,0.04088285,0.013376427,0.00112748
3,0.192380238,0.204784513,0.160886359,0.071114254,0.028190207,0.001067162
4,0.336384106,0.381666112,0.292788839,0.097994876,0.038427496,0.001113176
5,0.483472943,0.692784476,0.621790862,0.147070909,0.067502022,0.001231432
6,0.62655952,1.035765791,0.972640872,0.188387227,0.097571349,0.001230955
7,0.846375394,1.472532129,1.404376507,0.23377254,0.114142561,0.001089096
8,1.056629658,2.182153487,2.160287595,0.320116687,0.161083937,0.001125097
9,1.403749418,3.106716871,3.133982134,0.38534205,0.20133357,0.001454353
10,1.648390579,4.144107985,4.102378297,0.504469538,0.263562536,0.001426458
11,1.998543119,5.300350213,5.27853086,0.569892454,0.291330624,0.001277673
12,2.307072616,7.026315308,6.962708759,0.681456184,0.347721338,0.00113654
13,2.703517675,8.987387681,8.853070641,0.808218694,0.421076107,0.00127149
14,3.029240036,10.82752202,10.74966774,0.917964101,0.475286126,0.0013473
15,3.508468246,13.1876219,12.9583812,1.042807889,0.538704562,0.00114632
16,3.963686728,16.06695888,15.83594944,1.162701988,0.614584541,0.00125122
17,4.416370153,19.29483638,19.37432797,1.330948644,0.692468143,0.00183964
18,5.107572699,22.54840865,22.2830528,1.460283976,0.757793307,0.00121021
19,5.634395528,26.01720257,25.52091432,1.580735135,0.827215075,0.00172114
20,5.984773726,29.10721774,29.42408051,1.747364569,0.890139055,0.00127721
21,6.621080184,34.23140676,34.58238821,1.946914959,1.001644897,0.00223517
22,6.967389178,39.53558939,39.48927794,2.161041117,1.09891274,0.00121689
23,7.756841278,46.18273902,45.73130784,2.410024285,1.239313502,0.00148892
24,8.486922979,52.06135943,52.71515555,2.69826098,1.374857426,0.00173497
25,9.253019428,59.49548383,59.51455107,2.916078687,1.559427524,0.00132346